,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
583 - Vegetable lasagna (frozen meal),0.425020019726037,0.3966710709818593,0.030626569635263227,0.0629000436669864,0.0,0.20266800849562563,0.0,0.0,0.04217644056989837,0.0,0.0,0.025077461768097473,0.0,0.0,0.0
"584 - Soup, mostly noodles",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.554689926552115,0.0,0.0,0.0
"611 - Orange, raw",6.145416840608036,0.0,0.7369413411488478,0.0,0.0,0.0,2.4980582366118314,0.11117430630724948,0.267050133000557,0.0,0.20021418005120672,0.2619002976374009,0.0,2.3465403895490637,0.3959299276201342
"612 - Orange juice, canned, bottled or in a carton",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.466760557089238
621 - Raisins,4.225880028583976,0.0,0.0,0.0,0.052692106729350305,0.0,0.0,0.0,0.0,0.0,0.4179723848416333,0.020719056291986795,0.0,0.11323330987230387,0.0
"631 - Banana, raw",11.307716383857233,1.9367863473033895,3.955543688711355,0.0,0.47420869015557704,0.18117230084039404,2.2340723311415074,0.22326755222205208,1.626885819140807,0.952744397238198,0.7828851730947696,0.5357100947952234,0.0,1.4293732121564762,1.9324886436521052
"632 - Strawberries, raw",9.664291233963601,0.0,0.0,0.0,0.0,0.019089107040723592,0.0,0.0,0.0,0.0,0.0,0.0,0.08874556940520734,0.0,0.0
"633 - Fruit salad, fresh or raw, (excluding citrus fruits), no dressing",0.8680516120524973,0.8760626183205025,0.247024311151709,0.0,0.04196940219199852,0.561527789126915,0.0,0.1643051939790987,0.0,0.0,0.02517452703406081,0.668623655582424,0.163182154218628,0.0,0.6381128889677201
"634 - Guacamole, NFS",1.3152134991590547,0.1610930636844769,0.0,0.3019055611317083,0.16385879851970375,0.20380419991973892,2.519697665283655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
641 - Apple juice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.146337592900796,0.0,0.0,0.0,0.0,0.0,0.0
642 - Mango nectar,0.0,0.0,0.35078038844016224,0.0,0.0,0.5262306939571302,0.15168777052034738,0.0,0.0,0.0,0.5522176872168224,0.0,0.0,0.9829213615162098,0.0
644 - Vinegar,0.6367974455129197,0.0,0.15628425310275326,0.15632519060833697,0.0428562326546205,0.0,0.0,0.05913630535025995,0.0,0.0,0.005309216388166563,0.0,0.0,0.0,0.0
"710 - White potato, NFS",0.29838949518547225,0.0,0.02597446560798135,0.0,0.03517370619315474,0.097086633340444,2.033298927045476,0.0,0.05240835602128297,0.1057031568685632,0.215959797437256,0.39649133434476014,0.0,0.0,0.0
"711 - White potato, boiled, without peel, NS as to fat added in cooking",2.7916104807214093,0.0,0.0,0.7921904695791151,0.0,0.0,0.0,3.468271059292764,0.5817281625976274,0.0,0.2870648237697003,0.0,0.0,0.0,0.15905585398777772
"712 - White potato chips, regular cut",0.0,4.283538128502846,0.3925512236969592,0.8840639000044916,0.3549440965261819,0.7119710444096599,0.0,0.4541292965629646,0.0,0.0015704101286745417,0.0,0.0,1.2026062793426853,0.0,0.11454593014349031
"713 - White potato, scalloped",0.4370356538274344,0.6030572679182981,0.0,0.31777147870348404,0.0,0.12049140468323366,0.0,0.38177173293435096,0.0,0.0,0.0,0.05285241457060075,0.0,0.0,0.0
