factor_id,symptom,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value,odds_ratio,logistic_p_value,logistic_coefficient,overall_prevalence_or_mean,active_users_symptom_prevalence
1,bristol_diarrhea,-0.004566062557808564,0.7436244781346165,-0.007841758603613268,0.5743243395711614,0.9205954029524975,0.7435721936785082,-0.08273464114557465,7.500487044613287,7.271483929792569
2,diarrhea,0.014044581175309673,0.31098379204759813,0.011002090456434375,0.42739164485081527,1.1699045284832907,0.31093579091656487,0.15692214589330633,23.06953515174798,23.235144743524632
2,constipation,0.05098535181309186,0.00023237215772674717,0.04698285505381852,0.0006947413237779821,1.7416378406609114,0.00023746048226636063,0.5548259582290972,24.692780337941628,25.304568527918782
2,bowel_urgency,0.0014534710992189347,0.9164975210536106,0.003148028412548239,0.820358033155743,1.0148368466894608,0.916475859876563,0.014727857395471104,31.713407606607763,31.775463550927103
2,laxative_taken,-0.007380614639414574,0.5943003780804816,-0.016515268281418447,0.23331114401983516,0.8954428259951498,0.594237810334475,-0.11043690542117057,11.247600767754319,10.81218274111675
2,stool_frequency,0.040592064233561195,0.03624130473065236,0.046903825622006456,0.015512900917188299,1.0,1.0,0.0,11.916604057099924,1195.8556801560214
2,stool_type,-0.009744720545689818,0.4838995704649867,0.002160201234886889,0.8766780455964701,1.0,1.0,0.0,4.380398992833624,430.41474654377885
2,bristol_constipation,0.006077097287524263,0.6633509563455914,0.009906478091211571,0.47795609181574183,1.114190903292649,0.6632970255649124,0.10812849423149816,7.558932398207675,7.79722079258878
2,bristol_diarrhea,-0.0018237433993791331,0.8960677681334314,-0.00991998739093762,0.4773560287564016,0.9678654145149093,0.8960429521466291,-0.032662235963800745,7.500487044613287,7.128152341739578
3,diarrhea,0.03843505026039254,0.005544861665372409,0.03348484620653974,0.01568703816900103,1.4184875842353213,0.005623617956663773,0.34959122248635655,23.06953515174798,23.92883079157589
3,constipation,-0.09515529446639509,5.943745987453908e-12,-0.10305619293818079,8.968148338080827e-14,0.3683045525879169,1.2367440405114394e-11,-0.9988450945216696,24.692780337941628,21.343012704174228
3,bowel_urgency,-0.040220308698223635,0.003702231516774558,-0.05099725065432995,0.00023223291672980453,0.7012424851222803,0.003760622031587557,-0.35490153860581747,31.713407606607763,29.920116194626
3,laxative_taken,-0.07213821326582243,1.863101519221725e-07,-0.08229959981434104,2.696528395501067e-09,0.3283411176331474,3.23633766674547e-07,-1.1137022182318481,11.247600767754319,9.104098657961552
3,stool_frequency,0.09914756562421649,2.964229987717501e-07,0.07280791653746947,0.00017010396706927907,1.0,1.0,0.0,11.916604057099924,1213.3380381086804
3,stool_type,-0.002527808380863557,0.8559048887896479,0.010204672364653444,0.4635045997385975,1.0,1.0,0.0,4.380398992833624,426.56192911947386
3,bristol_constipation,-0.054248992025423895,0.00010083092185109663,-0.06402999447870517,4.410843765861885e-06,0.3709264253389188,0.00012984250978664846,-0.9917515504919664,7.558932398207675,6.128440366972477
3,bristol_diarrhea,-0.009073641287530715,0.5157337569571211,-0.007791962716562949,0.5767574254730143,0.8686154525025813,0.5157689654241064,-0.1408547689146507,7.500487044613287,7.339449541284404
4,diarrhea,-0.020514406513017357,0.13888168349644633,-0.018862855453440852,0.17357734344826417,0.8153539789991144,0.13892786070520224,-0.20413292997500965,23.06953515174798,22.498483929654338
4,constipation,0.02214343659202591,0.11008169478514979,0.018873286068028766,0.17325695357764112,1.234952754325678,0.1101303134542555,0.21103271374143767,24.692780337941628,25.658891245077246
4,bowel_urgency,0.015257926363313187,0.2710276789754369,0.02186117413918832,0.11476087802225769,1.1449922553119538,0.2709840018499021,0.1353978730636366,31.713407606607763,32.52500757805395
