seqn,factor_0,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6,factor_7,factor_8,factor_9,factor_10,factor_11,factor_12,factor_13,factor_14
51806,0.22671008133576603,0.2970789683081999,0.0,0.00861161944456116,0.6131033271345081,0.0,0.4435125343516051,0.21648976936901326,0.0,0.0,0.014864941834050648,0.0,0.6154901257058233,0.0,0.0
51807,0.0,0.3811724255885912,0.42870613092485094,0.0,0.0,0.0,0.16714367025517277,0.04244160921465961,0.0027152930698876782,0.02857789425192645,0.010434355661873302,0.014157527912856425,0.0,0.0,0.0
51808,0.0,0.1839808375274692,0.3372037750744821,0.024279388629152365,0.6020933829737759,0.021091630856734506,0.22306131895162237,0.0996680542302119,0.0,0.0,0.0,0.005215610382789337,0.5237013053954208,0.0,0.0
51809,0.48107067929452146,0.0,0.2558254224670998,0.0,0.5091453572011766,0.0,0.0,0.0,0.49015800058478987,0.0,0.0,0.0,0.0,0.0,0.20205810304417435
51815,0.08146345335547706,0.11283395693375785,0.07059457321597762,0.0027705548786475616,0.5583953299705242,0.018609418424427808,0.007311509792979012,0.0,0.004309245599874217,0.0,0.9057610247097883,0.0,0.006904162950448993,0.0005946402811323566,0.01495073107331169
51816,0.11689710179676895,0.2052248582953874,0.12272312754876015,0.017626113093496838,0.043953446681036276,0.011214383472784889,0.3293849025520923,0.43939969012438146,0.08419741996396743,0.0,0.013295505960802227,0.004184571795816011,0.1496887490458242,0.0,0.0
51817,0.4519396115703156,0.0,0.022304392615236267,0.0,0.0,0.0,0.0,0.0,0.031757034936181074,0.033878714578543974,0.05241094575818298,0.022381010982798242,0.0,0.015009082237636114,0.5160565798862604
51818,0.0,0.35722983500441347,0.46359912635686906,0.0,0.013642329108484301,0.0,0.7170679026029022,0.09302120608890486,0.0,0.0,0.003142568154122429,0.0,0.4922146483861893,0.09046381639778067,0.04381941059118056
51819,0.27075708491999945,0.6681662510039408,0.0,0.0,0.0,0.0,0.0,0.0,0.004522085908620684,0.03415460791318103,0.0,0.02582995139244754,0.0,0.0,0.5821765760540955
51821,0.33991513632011533,0.39798504864003037,0.08726666311144446,0.0029230865967007067,0.544171239844222,0.0,0.11635027283952071,0.3323827620327427,0.7696642271068975,0.03868825466026489,0.010015931085796827,0.0,0.44223164011817157,0.0,0.011765090090083814
51822,0.0,0.0,0.0,0.7017794721364523,0.0,0.004382144434124026,0.17720495902416972,0.0,0.0,0.0,0.7980184216022409,0.0,0.07793829375060055,0.0,0.0
51823,0.44513898861178774,0.10644383438240794,0.0,0.0,0.45281723541567465,0.0,0.0,0.0,0.5079284891659,0.03432821352773396,0.019711377643533083,0.0219369291836282,0.0,0.8670188858709783,0.01201933791863716
51824,0.0,0.05685878716589883,0.39771280915722224,0.031968071000746626,0.5221157637975693,0.3552074122923333,0.17651556715714148,0.012031759946550482,0.6287520565128544,0.9298504645375393,0.007291079692061991,0.0,0.056802711589527356,0.7740294114181174,0.020946497502776322
51825,0.11187269825450315,0.0016338942932713938,0.441533803323466,0.0,0.04454404605478172,0.4827865929765443,0.714614060711493,0.0,0.8364554313854888,0.0,0.01495001225750874,0.0079903345484367,0.020663491072987483,0.004097473005924052,0.003180858235853067
51829,0.6874204113251531,0.21536057822364915,0.0,0.039111388309067505,0.0,0.018333535531777356,0.5911025208424194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51830,0.4196223081329272,0.0,0.0,0.025847114089873995,0.44876140820642973,0.0,0.3564721434122074,0.11233623493414031,0.757063399718005,0.0,0.0,0.0028706348184181565,0.0,0.0,0.0
51831,0.08395502474860998,0.2624630221424801,0.0,0.024398358263153435,0.0,0.005827363995382121,0.025919283501705505,0.0,0.0,0.0,0.0,0.0,0.5318951190865864,0.0,0.0
51832,0.44774909750914194,0.18091613238565768,0.1063495056453442,0.0,0.5918106633907637,0.0,0.25731650144502655,0.10165653440255533,0.06387056439220856,0.0,0.882637505260819,0.019779788963224704,0.0,0.07880501093274037,0.013803674112355935
51833,0.2738785899783532,0.08947421266505935,0.03540299867597686,0.0,0.4567458770613282,0.5691016939860791,0.05143071302448294,0.20174522281655952,0.0,0.9801241582412412,0.0,0.0,0.0613928770278929,0.0,0.0
51834,0.0,0.18283653415721965,0.44776768017250507,0.018470422098837536,0.04858587053892813,0.0012407928871516667,0.5180415526234922,0.0,0.014070087930702909,0.0,0.0,0.0,0.025162103022270507,0.0,0.0
51836,0.0,0.0934595495304169,0.3721202165859774,0.5582947454397649,0.6664772793295011,0.0,0.612420239102067,0.0,0.01497176834188473,0.0,0.0,0.0047400379908807515,0.22170726228857768,0.0,0.33877395543676003
